Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,SalaryPerYear,SatisfactionScore,DistanceIncomeRatio
36,0,1,11,3,1,2,2,2,6499,1,3,6,928.4285714285714,2.3333333333333335,1.6925680873980613
45,0,1,7,3,1,2,1,0,9724,2,3,1,4862.0,2.0,0.7198683669271905
35,0,1,1,3,3,2,1,1,2194,4,2,3,548.5,1.6666666666666667,0.45578851412944393
36,1,1,9,3,3,4,3,1,3388,0,2,1,1694.0,3.0,2.656434474616293
59,0,2,1,1,1,1,3,2,5473,7,2,4,1094.6,2.0,0.18271514708569342
29,0,1,2,3,1,3,2,1,2703,0,3,5,450.5,2.6666666666666665,0.7399186089530152
31,0,1,1,4,3,3,2,2,2501,1,3,1,1250.5,2.6666666666666665,0.39984006397441024
32,0,1,1,3,1,2,2,1,6220,1,3,10,565.4545454545455,2.3333333333333335,0.1607717041800643
36,0,1,6,3,1,2,4,1,3038,3,3,1,1519.0,3.0,1.9749835418038184
31,0,1,8,4,1,3,4,2,4424,1,3,11,368.6666666666667,3.3333333333333335,1.8083182640144664
35,0,2,1,4,2,3,1,2,4312,0,3,15,269.5,2.3333333333333335,0.23191094619666047
45,0,1,6,4,4,4,1,1,13245,4,4,0,13245.0,3.0,0.4530011325028313
37,0,1,7,4,3,1,3,2,13664,4,4,5,2277.3333333333335,2.6666666666666665,0.5122950819672131
46,0,0,5,2,3,2,2,0,5021,8,3,4,1004.2,2.3333333333333335,0.9958175662218681
30,0,1,1,1,1,4,4,1,5126,1,2,10,466.0,3.3333333333333335,0.19508388607101051
35,0,1,1,3,3,2,3,2,2859,1,3,6,408.42857142857144,2.6666666666666665,0.3497726477789437
55,0,2,1,2,1,1,4,1,10239,3,3,1,5119.5,2.6666666666666665,0.09766578767457759
38,0,1,6,3,3,2,4,0,5329,7,3,13,380.64285714285717,3.0,1.1259148057796962
34,0,1,1,2,3,1,2,1,4325,1,3,5,720.8333333333334,2.0,0.23121387283236994
56,0,1,7,3,1,4,4,2,7260,4,2,6,1037.142857142857,3.3333333333333335,0.9641873278236915
23,0,2,2,1,5,3,1,0,2322,3,3,0,2322.0,2.3333333333333335,0.8613264427217915
51,0,1,9,4,1,4,4,1,2075,3,3,4,415.0,3.6666666666666665,4.337349397590361
30,0,1,2,3,1,3,4,1,4152,1,3,11,346.0,3.3333333333333335,0.4816955684007707
46,1,2,9,2,3,3,4,2,9619,1,3,9,961.9,3.3333333333333335,0.9356481962781994
40,0,1,1,4,1,3,2,1,13503,1,2,22,587.0869565217391,2.3333333333333335,0.07405761682589054
51,0,2,21,4,2,3,4,2,5441,0,1,10,494.6363636363636,2.6666666666666665,3.8595846351773573
30,0,2,4,2,3,3,2,0,5209,1,2,11,434.0833333333333,2.3333333333333335,0.7679017085813017
46,0,1,1,3,3,3,1,1,10673,2,2,10,970.2727272727273,2.0,0.093694368968425
32,0,2,6,4,3,2,3,2,5010,1,3,11,417.5,2.6666666666666665,1.1976047904191618
54,0,1,2,4,5,1,3,1,13549,9,1,4,2709.8,1.6666666666666667,0.147612369916599
24,0,2,3,2,4,1,3,1,4999,0,2,3,1249.75,2.0,0.600120024004801
28,0,2,4,3,3,2,3,1,4221,1,4,5,703.5,3.0,0.9476427386875148
58,0,2,10,4,3,4,3,2,13872,0,2,37,365.05263157894734,3.0,0.720876585928489
44,0,1,23,3,3,2,2,1,2042,4,4,3,510.5,2.6666666666666665,11.263467189030363
37,1,0,6,4,0,3,1,0,2073,4,3,3,518.25,2.3333333333333335,2.894356005788712
32,0,1,1,1,1,4,1,2,2956,1,3,1,1478.0,2.6666666666666665,0.3382949932341001
20,1,1,6,3,1,4,4,2,2926,1,3,1,1463.0,3.6666666666666665,2.0505809979494187
34,0,1,6,4,4,1,3,2,4809,1,3,16,282.88235294117646,2.3333333333333335,1.2476606363069245
37,0,1,2,2,1,3,4,0,5163,5,4,1,2581.5,3.6666666666666665,0.3873716831299632
59,0,0,2,4,0,3,4,1,18844,9,3,3,4711.0,3.3333333333333335,0.10613457864572277
50,0,1,1,3,1,1,2,1,18172,3,2,8,2019.111111111111,1.6666666666666667,0.0550297160466652
25,1,2,5,3,2,3,3,2,5744,1,3,6,820.5714285714286,3.0,0.8704735376044569
25,0,1,7,1,3,4,4,1,2889,1,3,2,963.0,3.6666666666666665,2.4229837313949467
22,0,1,15,3,3,2,4,2,2871,1,3,0,2871.0,3.0,5.2246603970741905
51,0,1,1,4,3,1,1,2,7484,3,2,13,534.5714285714286,1.3333333333333333,0.13361838588989844
34,1,1,7,3,1,1,3,2,6074,1,3,9,607.4,2.3333333333333335,1.1524530786960816
54,0,0,26,3,0,4,4,2,17328,2,3,5,2888.0,3.6666666666666665,1.5004616805170823
24,0,1,18,1,1,2,3,1,2774,0,3,5,462.3333333333333,2.6666666666666665,6.488824801730353
34,0,1,6,4,1,3,2,0,4505,6,3,1,2252.5,2.6666666666666665,1.3318534961154274
37,0,2,3,3,1,3,4,2,7428,2,3,5,1238.0,3.3333333333333335,0.4038772213247173
34,0,1,5,3,3,3,1,2,11631,2,3,11,969.25,2.3333333333333335,0.42988565041698906
36,0,2,11,2,5,2,4,1,9738,0,3,9,973.8,3.0,1.1295953994660095
36,0,1,3,2,1,1,4,0,2835,5,3,1,1417.5,2.6666666666666665,1.0582010582010581
43,0,2,26,2,1,3,4,1,16959,1,4,25,652.2692307692307,3.6666666666666665,1.5331092635178962
30,0,1,23,3,1,1,3,0,2613,1,2,10,237.54545454545453,2.0,8.802143130501339
33,0,2,22,2,2,3,2,1,6146,0,4,7,768.25,3.0,3.5795639440286364
56,1,1,14,4,1,2,2,1,4963,9,3,5,827.1666666666666,2.3333333333333335,2.8208744710860367
51,0,1,6,3,1,1,3,2,19537,7,3,20,930.3333333333334,2.3333333333333335,0.3071095869376056
31,1,2,6,4,1,2,3,1,6172,4,2,7,771.5,2.3333333333333335,0.9721322099805574
26,0,1,6,3,4,3,2,1,2368,1,2,5,394.6666666666667,2.3333333333333335,2.5337837837837838
58,1,1,23,4,3,4,4,1,10312,1,2,40,251.5121951219512,3.3333333333333335,2.2304111714507373
19,1,2,22,1,2,4,3,2,1675,1,2,0,1675.0,3.0,13.134328358208954
22,0,1,2,1,5,3,4,1,2523,0,3,2,841.0,3.3333333333333335,0.7927070947284978
49,0,1,20,4,3,3,1,1,6567,1,2,15,410.4375,2.0,3.0455306837216383
43,0,1,28,3,3,2,3,2,4739,4,3,3,1184.75,2.6666666666666665,5.908419497784343
50,0,2,12,3,2,3,4,2,9208,4,3,2,3069.3333333333335,3.3333333333333335,1.3032145960034751
31,1,2,20,3,1,2,3,1,4559,3,3,2,1519.6666666666667,2.6666666666666665,4.386926957666154
41,0,2,9,1,1,3,3,0,8189,3,3,9,818.9,3.0,1.0990352912443522
26,0,0,25,1,1,3,3,1,2942,1,3,8,326.8888888888889,3.0,8.497620666213459
36,0,1,6,2,3,2,2,0,4941,6,3,3,1235.25,2.3333333333333335,1.2143290831815423
51,1,1,8,4,1,1,4,2,10650,2,3,4,2130.0,2.6666666666666665,0.7511737089201878
39,0,2,4,4,1,4,3,1,5902,4,4,15,368.875,3.6666666666666665,0.6777363605557438
25,0,2,28,3,1,1,3,1,8639,2,3,2,2879.6666666666665,2.3333333333333335,3.241115869892349
30,0,0,9,3,0,3,4,1,6347,0,1,11,528.9166666666666,2.6666666666666665,1.4179927524814873
32,1,1,9,3,3,1,1,2,4200,7,4,5,700.0,2.0,2.142857142857143
45,0,1,29,3,3,3,4,2,3452,5,2,6,493.14285714285717,3.0,8.400926998841252
38,0,1,3,5,5,4,3,2,4317,3,3,3,1079.25,3.3333333333333335,0.6949270326615705
30,0,1,18,3,1,1,3,2,2632,1,2,5,438.6666666666667,2.0,6.838905775075988
32,0,2,9,2,3,4,4,0,4668,0,4,8,518.6666666666666,4.0,1.9280205655526992
30,0,1,5,3,5,4,1,0,3204,5,3,3,801.0,2.6666666666666665,1.560549313358302
30,0,1,2,1,3,2,4,2,2720,0,3,5,453.3333333333333,3.0,0.7352941176470588
41,0,1,10,3,1,4,1,0,17181,4,2,7,2147.625,2.3333333333333335,0.5820382981200163
41,0,1,9,4,1,3,1,1,2238,2,3,5,373.0,2.3333333333333335,4.021447721179625
19,0,1,3,1,3,2,2,2,1483,1,3,1,741.5,2.3333333333333335,2.0229265003371544
40,0,1,26,3,3,2,2,0,5605,1,3,20,266.9047619047619,2.3333333333333335,4.63871543264942
35,0,2,1,5,2,3,2,1,7295,1,3,10,663.1818181818181,2.6666666666666665,0.13708019191226867
53,0,2,6,2,2,2,3,1,2306,2,1,7,288.25,2.0,2.6019080659150045
45,0,1,9,3,1,2,2,0,2348,8,1,17,130.44444444444446,1.6666666666666667,3.8330494037478706
32,0,2,8,3,2,2,4,2,8998,1,3,9,899.8,3.0,0.8890864636585909
29,0,1,1,1,5,4,3,1,4319,1,3,10,392.6363636363636,3.3333333333333335,0.23153507756425099
51,0,1,7,4,3,2,3,1,6132,2,3,1,3066.0,2.6666666666666665,1.1415525114155252
58,0,1,9,3,3,2,2,1,3346,4,2,1,1673.0,2.0,2.6897788404064555
40,0,2,4,4,2,3,4,1,10855,7,2,12,835.0,3.0,0.36849378166743435
34,0,2,2,4,2,3,3,1,2231,6,3,4,446.2,3.0,0.8964589870013447
22,0,1,19,1,3,3,4,1,2323,1,3,2,774.3333333333334,3.3333333333333335,8.179078777442962
27,0,1,9,3,3,4,2,0,2024,6,1,2,674.6666666666666,2.3333333333333335,4.446640316205533
28,0,1,21,3,3,3,4,1,2713,1,1,5,452.1666666666667,2.6666666666666665,7.740508661997788
57,0,1,24,2,1,3,4,0,9439,3,1,5,1573.1666666666667,2.6666666666666665,2.5426422290496875
27,0,1,3,3,3,3,3,0,2566,1,2,1,1283.0,2.6666666666666665,1.1691348402182387
50,0,1,11,3,1,3,2,2,19926,3,3,5,3321.0,2.6666666666666665,0.5520425574626117
41,0,1,14,3,1,1,3,0,2451,4,3,9,245.1,2.3333333333333335,5.711954304365565
30,0,2,5,3,1,2,4,1,9419,2,3,10,856.2727272727273,3.0,0.5308419152776302
38,0,2,1,4,1,1,4,2,8686,4,4,8,965.1111111111111,3.0,0.11512779184895233
32,0,1,6,5,1,3,3,2,3038,3,3,5,506.3333333333333,3.0,1.9749835418038184
27,0,1,17,3,5,3,2,1,3058,0,2,5,509.6666666666667,2.3333333333333335,5.5591890124264225
19,1,2,1,1,5,3,1,2,2325,0,4,0,2325.0,2.6666666666666665,0.4301075268817204
36,0,1,3,2,3,4,2,2,2088,4,2,8,232.0,2.6666666666666665,1.4367816091954022
30,0,1,9,3,3,3,1,0,3072,1,3,12,236.30769230769232,2.3333333333333335,2.9296875
45,0,2,4,2,1,3,1,0,5006,4,4,5,834.3333333333334,2.6666666666666665,0.7990411506192568
56,0,1,8,3,1,3,1,0,4257,4,3,2,1419.0,2.3333333333333335,1.8792576932111817
33,0,1,2,3,1,3,4,2,2500,0,4,3,625.0,3.6666666666666665,0.8
19,1,1,2,3,1,2,4,2,1102,1,2,1,551.0,2.6666666666666665,1.8148820326678765
46,0,2,1,2,2,2,1,0,10453,1,3,24,418.12,2.0,0.09566631589017507
38,0,1,9,2,1,3,4,2,2288,1,3,2,762.6666666666666,3.3333333333333335,3.9335664335664338
31,0,1,12,1,3,3,4,1,3929,8,3,4,785.8,3.3333333333333335,3.054212267752609
34,0,1,27,2,3,4,2,2,2311,2,3,3,577.75,3.0,11.683254002596279
41,1,2,20,2,2,2,2,2,3140,1,2,4,628.0,2.0,6.369426751592356
50,0,1,1,3,3,3,3,1,3690,2,2,3,922.5,2.6666666666666665,0.2710027100271003
53,0,1,13,2,3,4,1,0,4450,1,3,4,890.0,2.6666666666666665,2.9213483146067416
33,0,1,14,3,3,4,2,1,2756,1,3,8,306.22222222222223,3.0,5.079825834542816
40,0,1,4,1,3,4,3,1,19033,1,3,20,906.3333333333334,3.3333333333333335,0.21016129879682655
55,0,1,14,4,3,3,2,2,18722,8,3,24,748.88,2.6666666666666665,0.7477833564790086
34,0,1,2,1,1,4,3,1,9547,1,2,10,867.9090909090909,3.0,0.20948989211270555
51,0,1,3,3,3,4,2,2,13734,3,3,7,1716.75,3.0,0.218435998252512
52,0,1,1,4,1,3,3,1,19999,0,3,33,588.2058823529412,3.0,0.050002500125006254
27,0,1,9,3,3,4,2,2,2279,1,2,7,284.875,2.6666666666666665,3.949100482667837
35,1,1,23,2,1,2,3,1,5916,3,3,1,2958.0,2.6666666666666665,3.887762001352265
43,0,1,7,3,3,4,4,0,2089,4,4,5,348.1666666666667,4.0,3.350885591191958
45,0,1,2,2,3,1,4,1,16792,9,3,20,799.6190476190476,2.6666666666666665,0.11910433539780847
37,0,1,21,3,1,2,1,1,3564,1,2,8,396.0,1.6666666666666667,5.892255892255892
35,0,1,2,3,3,2,2,2,4425,5,3,6,632.1428571428571,2.3333333333333335,0.4519774011299435
42,0,1,21,2,3,3,3,0,5265,2,3,5,877.5,3.0,3.988603988603989
38,0,1,2,4,1,4,3,1,6553,9,3,1,3276.5,3.3333333333333335,0.3052037234854265
38,0,1,29,3,5,4,4,1,6261,3,1,7,782.625,3.0,4.6318479476122025
27,0,1,1,1,5,3,1,1,4298,5,3,2,1432.6666666666667,2.3333333333333335,0.23266635644485806
49,0,1,18,4,1,4,4,0,6804,1,3,7,850.5,3.6666666666666665,2.6455026455026456
34,0,1,10,4,3,4,3,0,3815,1,4,5,635.8333333333334,3.6666666666666665,2.6212319790301444
40,0,1,19,2,3,3,4,1,2741,8,4,7,342.625,3.6666666666666665,6.931776723823422
38,1,1,29,1,3,2,1,1,6673,7,3,1,3336.5,2.0,4.345871422148958
29,1,2,27,3,2,2,4,1,7639,1,2,10,694.4545454545455,2.6666666666666665,3.5344940437230004
22,0,1,5,3,1,4,2,0,2328,1,2,4,465.6,2.6666666666666665,2.147766323024055
36,0,1,18,1,3,2,4,2,2153,1,3,8,239.22222222222223,3.0,8.360427310729214
40,0,1,9,5,1,4,4,1,4876,9,1,3,1219.0,3.0,1.8457752255947497
46,0,1,1,4,3,4,1,0,9396,7,3,4,1879.2,2.6666666666666665,0.10642826734780757
32,1,2,4,4,3,4,4,1,10400,1,2,14,693.3333333333334,3.3333333333333335,0.3846153846153846
30,0,1,1,1,1,3,3,2,8474,1,3,11,706.1666666666666,3.0,0.1180080245456691
27,0,2,20,3,1,4,3,2,9981,1,3,7,1247.625,3.3333333333333335,2.003807233744114
51,0,1,8,4,1,2,2,1,12490,5,1,10,1135.4545454545455,1.6666666666666667,0.6405124099279423
30,1,1,3,3,5,4,1,2,2657,5,3,5,442.8333333333333,2.6666666666666665,1.1290929619872037
41,0,2,6,3,1,4,4,2,13591,3,3,1,6795.5,3.6666666666666665,0.4414686189390038
30,1,2,26,4,2,3,1,2,6696,5,2,6,956.5714285714286,2.0,3.882915173237754
29,1,1,1,3,5,3,3,2,2058,0,2,6,294.0,2.6666666666666665,0.4859086491739553
45,0,2,6,3,3,4,4,2,8865,6,3,19,443.25,3.6666666666666665,0.676818950930626
54,0,2,3,3,2,4,1,1,5940,2,3,6,848.5714285714286,2.6666666666666665,0.505050505050505
36,0,1,5,2,1,4,2,2,5914,8,4,13,422.42857142857144,3.3333333333333335,0.8454514710855597
33,0,1,4,4,3,3,2,1,2622,6,3,3,655.5,2.6666666666666665,1.5255530129672006
37,0,1,11,3,4,2,4,0,12185,1,3,10,1107.7272727272727,3.0,0.9027492819039803
38,0,2,3,3,1,1,3,0,10609,0,2,16,624.0588235294117,2.0,0.2827787727401263
31,0,1,1,4,3,3,3,1,4345,0,3,5,724.1666666666666,3.0,0.23014959723820486
59,0,1,3,3,1,3,4,1,2177,3,3,1,1088.5,3.3333333333333335,1.3780431786862655
37,0,2,4,4,2,1,4,0,2793,4,3,9,279.3,2.6666666666666665,1.4321518080916575
29,0,2,1,1,3,2,4,1,7918,1,3,11,659.8333333333334,3.0,0.1262945188178833
35,0,2,1,3,2,3,3,2,8789,1,4,10,799.0,3.3333333333333335,0.11377858686995108
29,1,1,18,1,3,3,4,2,2389,1,2,4,477.8,3.0,7.534533277521977
52,0,1,2,3,1,3,4,2,3212,7,2,2,1070.6666666666667,3.0,0.62266500622665
42,0,1,4,2,5,3,4,1,19232,1,3,22,836.1739130434783,3.3333333333333335,0.2079866888519135
59,0,0,6,2,3,2,3,1,2267,8,2,2,755.6666666666666,2.3333333333333335,2.646669607410675
50,0,2,1,4,3,4,4,0,19517,3,2,7,2439.625,3.3333333333333335,0.051237382794486856
33,1,1,14,3,3,3,4,1,2436,5,1,5,406.0,2.6666666666666665,5.74712643678161
43,0,2,16,3,2,4,4,1,16064,5,3,17,892.4444444444445,3.6666666666666665,0.9960159362549801
33,1,1,2,2,1,1,1,1,2707,7,4,9,270.7,2.0,0.7388252678241596
52,0,2,2,4,1,1,3,2,19068,1,4,33,560.8235294117648,2.6666666666666665,0.10488777008600797
32,0,2,4,2,1,3,2,1,3931,2,3,4,786.2,2.6666666666666665,1.0175527855507505
32,1,1,1,3,1,4,3,2,3730,0,1,3,932.5,2.6666666666666665,0.2680965147453083
39,0,1,1,4,3,3,3,0,2232,7,3,3,558.0,3.0,0.4480286738351254
32,0,2,26,4,2,3,4,1,4465,0,3,3,1116.25,3.3333333333333335,5.823068309070549
41,0,1,19,2,1,3,1,0,3072,2,2,1,1536.0,2.0,6.184895833333333
40,0,1,24,2,5,1,4,0,3319,1,3,9,331.9,2.6666666666666665,7.231093702922567
45,0,1,1,3,4,3,4,1,19202,0,3,24,768.08,3.3333333333333335,0.05207790855119258
31,0,1,3,4,3,2,3,0,13675,9,3,2,4558.333333333333,2.6666666666666665,0.21937842778793418
33,0,1,5,4,1,3,4,1,2911,1,2,2,970.3333333333334,3.0,1.7176228100309172
34,0,1,2,4,1,4,1,1,5957,6,3,11,496.4166666666667,2.6666666666666665,0.33573946617424877
37,0,1,1,2,3,3,1,1,3920,2,2,3,980.0,2.0,0.25510204081632654
45,0,1,7,4,1,1,3,1,6434,4,3,3,1608.5,2.3333333333333335,1.0879701585327946
37,1,1,10,3,3,1,3,0,10048,6,3,1,5024.0,2.3333333333333335,0.9952229299363057
39,0,1,2,4,5,3,3,2,10938,0,3,19,546.9,3.0,0.18284878405558602
29,0,1,15,3,1,3,4,2,2340,1,3,6,334.2857142857143,3.3333333333333335,6.410256410256411
42,0,1,17,2,1,4,1,2,6545,3,3,3,1636.25,2.6666666666666665,2.5974025974025974
29,0,2,20,2,2,4,4,0,6931,2,3,3,1732.75,3.6666666666666665,2.8855864954552013
25,0,1,1,3,1,1,3,1,4898,0,3,4,979.6,2.3333333333333335,0.2041649652919559
42,0,1,2,3,3,4,1,0,2593,0,3,9,259.3,2.6666666666666665,0.7713073659853452
40,0,1,2,2,3,1,3,0,19436,0,3,21,883.4545454545455,2.3333333333333335,0.10290183165260341
51,0,1,1,3,1,3,4,1,2723,1,2,1,1361.5,3.0,0.36724201248622845
31,1,1,29,2,3,3,2,2,3479,0,4,5,579.8333333333334,3.0,8.335728657660248
32,0,1,7,3,1,2,2,1,2794,1,1,5,465.6666666666667,1.6666666666666667,2.5053686471009304
38,0,2,2,2,1,4,4,1,5249,3,3,8,583.2222222222222,3.6666666666666665,0.38102495713469237
32,0,1,2,1,5,4,1,2,2176,4,3,6,310.85714285714283,2.6666666666666665,0.9191176470588235
46,0,2,2,3,5,3,2,1,16872,3,2,7,2109.0,2.3333333333333335,0.11853959222380275
28,1,1,2,4,1,1,3,2,3485,2,1,0,3485.0,1.6666666666666667,0.5738880918220947
29,0,2,2,3,3,1,2,1,6644,2,3,0,6644.0,2.0,0.30102347983142685
31,0,1,23,3,3,2,4,1,5582,0,3,9,558.2,3.0,4.120386958079542
25,0,1,5,2,1,2,1,0,4000,1,3,6,571.4285714285714,2.0,1.25
45,0,1,20,2,3,3,4,1,13496,0,3,20,642.6666666666666,3.3333333333333335,1.4819205690574984
36,0,1,6,3,1,4,4,1,3210,0,3,15,200.625,3.6666666666666665,1.8691588785046729
55,0,1,1,3,3,4,1,2,19045,0,3,36,514.7297297297297,2.6666666666666665,0.05250721974271462
47,1,1,29,4,1,1,2,1,11849,1,2,10,1077.1818181818182,1.6666666666666667,2.447463921005992
28,0,1,9,3,3,4,4,1,2070,1,2,5,345.0,3.3333333333333335,4.347826086956522
37,0,2,6,4,3,3,4,1,6502,4,4,5,1083.6666666666667,3.6666666666666665,0.9227929867733006
21,0,1,3,2,3,4,3,2,3230,1,4,3,807.5,3.6666666666666665,0.9287925696594427
37,0,1,1,4,3,1,4,0,13603,2,3,5,2267.1666666666665,2.6666666666666665,0.07351319561861354
35,0,1,22,3,1,2,2,0,11996,7,2,7,1499.5,2.0,1.833944648216072
38,0,2,7,2,3,1,1,0,5605,1,3,8,622.7777777777778,1.6666666666666667,1.2488849241748439
26,0,1,1,3,1,3,2,0,6397,1,1,6,913.8571428571429,2.0,0.1563232765358762
